CustomerKey,CustomerID,PersonID,StoreID,FirstName,LastName,MiddleName,BirthDate,Gender,YearlyIncome,ModifiedDate,ValueUntil
1,29484,291,292,Gustavo,Achong,,,,,2024-01-08 22:25:31,
2,29485,293,294,Catherine,Abel,R.,,,,2024-01-08 22:25:31,
3,29486,295,296,Kim,Abercrombie,,,,,2024-01-08 22:25:31,
4,29487,297,298,Humberto,Acevedo,,,,,2024-01-08 22:25:31,
5,29488,299,300,Pilar,Ackerman,,,,,2024-01-08 22:25:31,
6,29489,301,302,Frances,Adams,B.,,,,2024-01-08 22:25:31,
7,29490,303,304,Margaret,Smith,J.,,,,2024-01-08 22:25:31,
8,29491,305,306,Carla,Adams,J.,,,,2024-01-08 22:25:31,
9,29492,307,308,Jay,Adams,,,,,2024-01-08 22:25:31,
10,29493,309,310,Ronald,Adina,L.,,,,2024-01-08 22:25:31,
11,29494,311,312,Samuel,Agcaoili,N.,,,,2024-01-08 22:25:31,
12,29495,313,314,James,Aguilar,T.,,,,2024-01-08 22:25:31,
13,29496,315,316,Robert,Ahlering,E.,,,,2024-01-08 22:25:31,
14,29497,317,318,François,Ferrier,,,,,2024-01-08 22:25:31,
15,29498,319,320,Kim,Akers,,,,,2024-01-08 22:25:31,
16,29499,323,324,Amy,Alberts,E.,,,,2024-01-08 22:25:31,
17,29500,325,326,Anna,Albright,A.,,,,2024-01-08 22:25:31,
18,29501,327,328,Milton,Albury,J.,,,,2024-01-08 22:25:31,
19,29502,329,330,Paul,Alcorn,L.,,,,2024-01-08 22:25:31,
20,29503,331,332,Gregory,Alderson,F.,,,,2024-01-08 22:25:31,
21,29504,333,334,J. Phillip,Alexander,L.,,,,2024-01-08 22:25:31,
22,29505,335,336,Michelle,Alexander,,,,,2024-01-08 22:25:31,
23,29506,337,338,Sean,Jacobson,P.,,,,2024-01-08 22:25:31,
24,29507,339,340,Phyllis,Allen,A.,,,,2024-01-08 22:25:31,
25,29508,341,342,Marvin,Allen,N.,,,,2024-01-08 22:25:31,
26,29509,343,344,Michael,Allen,,,,,2024-01-08 22:25:31,
27,29510,345,346,Cecil,Allison,J.,,,,2024-01-08 22:25:31,
28,29511,347,348,Oscar,Alpuerto,L.,,,,2024-01-08 22:25:31,
29,29512,349,350,Sandra,Altamirano,J.,,,,2024-01-08 22:25:31,
30,29513,351,352,Selena,Alvarado,R.,,,,2024-01-08 22:25:31,
31,29514,353,354,Emilio,Alvaro,R.,,,,2024-01-08 22:25:31,
32,29515,355,356,Maxwell,Amland,J.,,,,2024-01-08 22:25:31,
33,29516,357,358,Mae,Anderson,N.,,,,2024-01-08 22:25:31,
34,29517,359,360,Ramona,Antrim,J.,,,,2024-01-08 22:25:31,
35,29518,361,362,Sabria,Appelbaum,B.,,,,2024-01-08 22:25:31,
36,29519,363,364,Hannah,Arakawa,R.,,,,2024-01-08 22:25:31,
37,29520,365,366,Kyley,Arbelaez,J.,,,,2024-01-08 22:25:31,
38,29521,367,368,Tom,Johnston,H,,,,2024-01-08 22:25:31,
39,29522,369,370,Thomas,Armstrong,B.,,,,2024-01-08 22:25:31,
40,29523,371,372,John,Arthur,,,,,2024-01-08 22:25:31,
41,29524,373,374,Chris,Ashton,,,,,2024-01-08 22:25:31,
42,29525,375,376,Teresa,Atkinson,,,,,2024-01-08 22:25:31,
43,29526,377,378,John,Ault,P.,,,,2024-01-08 22:25:31,
44,29527,379,380,Robert,Avalos,A.,,,,2024-01-08 22:25:31,
45,29528,381,382,Stephen,Ayers,M.,,,,2024-01-08 22:25:31,
46,29529,383,384,Phillip,Bacalzo,M.,,,,2024-01-08 22:25:31,
47,29530,385,386,Daniel,Blanco,,,,,2024-01-08 22:25:31,
48,29531,387,388,Cory,Booth,K.,,,,2024-01-08 22:25:31,
49,29532,389,390,James,Bailey,B.,,,,2024-01-08 22:25:31,
50,29533,391,392,Douglas,Baldwin,A.,,,,2024-01-08 22:25:31,
51,29534,393,394,Jennifer,Bales,B.,,,,2024-01-08 22:25:31,
52,29535,397,398,Wayne,Banack,N.,,,,2024-01-08 22:25:31,
53,29536,405,406,Robert,Barker,L.,,,,2024-01-08 22:25:31,
54,29537,407,408,Rebecca,Barley,R.,,,,2024-01-08 22:25:31,
55,29538,409,410,Brenda,Barlow,L.,,,,2024-01-08 22:25:31,
56,29539,411,412,Josh,Barnhill,,,,,2024-01-08 22:25:31,
57,29540,413,414,Adam,Barr,,,,,2024-01-08 22:25:31,
58,29541,417,418,Gytis,Barzdukas,M,,,,2024-01-08 22:25:31,
59,29542,419,420,David,Bartness,M.,,,,2024-01-08 22:25:31,
60,29543,421,422,Karel,Bates,E.,,,,2024-01-08 22:25:31,
61,29544,427,428,Shaun,Beasley,,,,,2024-01-08 22:25:31,
62,29545,429,430,John,Beaver,A.,,,,2024-01-08 22:25:31,
63,29546,431,432,Christopher,Beck,R.,,,,2024-01-08 22:25:31,
64,29547,435,436,Benjamin,Becker,J.,,,,2024-01-08 22:25:31,
65,29548,437,438,Ann,Beebe,,,,,2024-01-08 22:25:31,
66,29549,439,440,Shane,Belli,J.,,,,2024-01-08 22:25:31,
67,29550,441,442,Stanley,Alan,A.,,,,2024-01-08 22:25:31,
68,29551,443,444,Mason,Bendixen,,,,,2024-01-08 22:25:31,
69,29552,445,446,John,Bennetts,M.,,,,2024-01-08 22:25:31,
70,29553,449,450,Edna,Benson,J.,,,,2024-01-08 22:25:31,
71,29554,451,452,Payton,Benson,P.,,,,2024-01-08 22:25:31,
72,29555,453,454,Max,Benson,,,,,2024-01-08 22:25:31,
73,29556,455,456,Scot,Bent,A.,,,,2024-01-08 22:25:31,
74,29557,463,464,Alexander,Berger,J.,,,,2024-01-08 22:25:31,
75,29558,465,466,John,Berger,M.,,,,2024-01-08 22:25:31,
